lon,lat,Y,lambda_est,sigma_ou_sq_est,sigma_i_sq
-80.0000000000,20.1000003815,-0.0000014894,0.3524610325,0.0129452785,0.0184641273
-80.0000000000,20.2000007629,0.0000001393,0.3529565996,0.0130866580,0.0186386220
-80.0000000000,20.2999992371,0.0000009822,0.3535225878,0.0132529438,0.0188441259
-80.0000000000,20.3999996185,0.0000012609,0.3541549087,0.0134441797,0.0190806485
-80.0000000000,20.5000000000,-0.0000001107,0.3548487689,0.0136603899,0.0193481856
-80.0000000000,20.6000003815,0.0000016895,0.3521191144,0.0136219971,0.0194428822
-80.0000000000,20.7000007629,0.0000010823,0.3464750636,0.0134023298,0.0194409731
-80.0000000000,20.7999992371,0.0000003072,0.3408021080,0.0132371960,0.0195206487
-80.0000000000,20.8999996185,-0.0000007644,0.3351796431,0.0131268362,0.0196817921
-80.0000000000,21.0000000000,0.0000006501,0.3296800170,0.0130714010,0.0199243757
-80.0000000000,21.1000003815,-0.0000000071,0.3118009761,0.0121055152,0.0195122472
-80.0000000000,21.2000007629,-0.0000005643,0.2931262539,0.0111728515,0.0191580874
-80.0000000000,21.2999992371,0.0000000822,0.2759027889,0.0104148379,0.0189741076
-80.0000000000,21.3999996185,-0.0000004000,0.2604161141,0.0098244036,0.0189628949
-80.0000000000,21.5000000000,-0.0000000750,0.2471080504,0.0093902452,0.0191002818
-80.0000000000,21.6000003815,0.0000012609,0.2363357316,0.0090632485,0.0192745202
-80.0000000000,21.7000007629,-0.0000009965,0.2267489081,0.0088247778,0.0195593612
-80.0000000000,21.7999992371,-0.0000002893,0.2183212919,0.0086700981,0.0199562817
-80.0000000000,21.8999996185,0.0000004679,0.2109990793,0.0085946685,0.0204666018
-80.0000000000,23.3999996185,-0.0000003358,0.3969181444,0.0162337050,0.0205496887
-80.0000000000,23.5000000000,0.0000002929,0.4173185145,0.0158375409,0.0190753633
-80.0000000000,23.6000003815,0.0000007108,0.4417241868,0.0158125293,0.0179986455
-80.0000000000,23.7000007629,-0.0000014537,0.4694925214,0.0161665753,0.0173170743
-80.0000000000,23.7999992371,-0.0000001679,0.4968138563,0.0168555938,0.0170636913
-80.0000000000,23.8999996185,-0.0000011787,0.5101987402,0.0175127741,0.0172626983
-80.0000000000,24.0000000000,-0.0000004250,0.5225038945,0.0182982665,0.0176101723
-80.0000000000,24.1000003815,-0.0000008680,0.5333479345,0.0192085076,0.0181074829
-80.0000000000,24.2000007629,0.0000004072,0.5424468732,0.0202397220,0.0187559486
-80.0000000000,24.2999992371,0.0000003036,0.5445091300,0.0210723728,0.0194498801
-80.0000000000,24.3999996185,0.0000012787,0.5425380187,0.0217939522,0.0201851843
-80.0000000000,24.5000000000,0.0000001679,0.5407935236,0.0226400234,0.0210322250
-80.0000000000,24.6000003815,-0.0000000679,0.5392741827,0.0236105304,0.0219910261
-80.0000000000,29.2000007629,-0.0000023253,0.3133239423,0.0280122180,0.0448016876
-80.0000000000,29.2999992371,0.0000001107,0.3147339191,0.0282010306,0.0449013844
-80.0000000000,29.3999996185,0.0000006286,0.3170101632,0.0286662430,0.0453134447
-80.0000000000,29.5000000000,0.0000001464,0.3201145387,0.0294103250,0.0460371903
-80.0000000000,29.6000003815,-0.0000000750,0.3241271909,0.0303781740,0.0469615020
-80.0000000000,29.7000007629,-0.0000004358,0.3301151705,0.0311392453,0.0472642142
-80.0000000000,29.7999992371,-0.0000009001,0.3368558389,0.0322090425,0.0479083482
